order_id,customer_id,product,category,quantity,price,order_date
ORD001,CUST001,Laptop,Electronics,1,85000,2026-09-01
ORD002,CUST002,Phone,Electronics,2,45000,2026-09-01
ORD003,CUST003,Chair,Furniture,1,7500,2026-09-02
ORD004,CUST001,Keyboard,Electronics,2,2500,2026-09-02
ORD005,CUST004,Desk,Furniture,1,15000,2026-09-03
ORD006,CUST005,Monitor,Electronics,2,18000,2026-09-03
ORD007,CUST002,Mouse,Electronics,3,1200,2026-09-04
ORD008,CUST003,Table,Furniture,1,22000,2026-09-04
ORD009,CUST006,Headphones,Electronics,2,3500,2026-09-05
ORD010,CUST004,Office Chair,Furniture,1,12500,2026-09-05
